City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bredasdorp,ZA,2022-05-05 21:06:19,-34.5322,20.0403,58.17,93,21,3.94
68,Deputatskiy,RU,2022-05-05 21:06:19,69.3,139.9,22.33,95,100,1.9
69,Didao,CN,2022-05-05 21:06:20,45.3667,130.8,55.47,77,100,20.4
70,Ayr,GB,2022-05-05 21:06:20,55.4627,-4.6339,54.5,94,75,4.61
71,Mnogovershinnyy,RU,2022-05-05 21:06:21,53.9353,139.9242,30.65,99,100,5.41
72,Biharamulo,TZ,2022-05-05 21:06:21,-2.6319,31.3089,63.3,89,87,2.75
73,Upernavik,GL,2022-05-05 21:06:22,72.7868,-56.1549,13.71,86,58,6.64
74,Yarada,IN,2022-05-05 21:06:23,17.65,83.2667,79.12,78,75,4.61
75,Puerto Morazan,NI,2022-05-05 21:06:23,12.8504,-87.1717,90.21,53,100,6.42
76,Sitka,US,2022-05-05 21:06:24,57.0531,-135.33,44.49,76,100,5.75
77,Yellowknife,CA,2022-05-05 21:06:25,62.456,-114.3525,53.56,50,22,11.99
78,Port Macquarie,AU,2022-05-05 21:06:26,-31.4333,152.9167,61.9,85,82,8.21
79,Ialibu,PG,2022-05-05 21:06:26,-6.2821,143.9935,57.61,97,100,1.32
80,Picota,PE,2022-05-05 21:06:27,-6.9197,-76.3304,82.89,69,91,2.8
81,Chuy,UY,2022-05-05 21:06:27,-33.6971,-53.4616,59.22,76,85,6.13
82,Mfou,CM,2022-05-05 21:06:28,3.7159,11.6427,69.33,98,100,0.87
83,Kahului,US,2022-05-05 21:06:28,20.8947,-156.47,82.42,67,40,21.85
84,Wasilla,US,2022-05-05 21:06:29,61.5814,-149.4394,54.82,40,100,5.75
85,Hithadhoo,MV,2022-05-05 21:06:29,-0.6,73.0833,83.91,74,100,16.13
86,Albany,US,2022-05-05 21:05:08,42.6001,-73.9662,68.45,39,100,5.21
87,Umm Lajj,SA,2022-05-05 21:06:30,25.0213,37.2685,76.33,51,0,10.16
88,Bengkulu,ID,2022-05-05 21:06:30,-3.8004,102.2655,76.01,87,96,3.27
89,Ukiah,US,2022-05-05 21:06:31,39.1502,-123.2078,67.44,62,100,8.05
90,Hohhot,CN,2022-05-05 21:06:31,40.8106,111.6522,45.27,52,56,13.38
91,Thompson,CA,2022-05-05 21:06:31,55.7435,-97.8558,39.63,96,100,10.71
92,Port Augusta,AU,2022-05-05 21:06:32,-32.5,137.7667,49.68,80,44,4.88
93,Kavieng,PG,2022-05-05 21:06:33,-2.5744,150.7967,83.43,76,97,13.71
94,Kruisfontein,ZA,2022-05-05 21:06:33,-34.0033,24.7314,63.88,51,4,4.76
95,Dingle,PH,2022-05-05 21:06:34,10.9995,122.6711,77.81,87,81,7.16
96,Khatanga,RU,2022-05-05 21:06:34,71.9667,102.5,26.76,88,70,13.51
97,Iquitos,PE,2022-05-05 21:03:54,-3.7481,-73.2472,74.93,90,100,2.66
98,Yantal,RU,2022-05-05 21:06:35,56.8471,105.2542,28.72,75,32,4.92
99,Ryotsu,JP,2022-05-05 21:06:35,38.0833,138.4333,60.76,55,0,2.06
100,Mar Del Plata,AR,2022-05-05 21:02:56,-38.0023,-57.5575,66.94,59,100,4.0
101,Yangambi,CD,2022-05-05 21:06:36,0.8102,24.4336,71.29,95,98,3.04
102,Totness,SR,2022-05-05 21:06:37,5.8833,-56.3167,81.05,78,72,9.62
103,Shingu,JP,2022-05-05 21:06:37,33.7333,135.9833,61.5,90,100,4.74
104,Stillwater,US,2022-05-05 21:05:28,36.1156,-97.0584,59.29,91,100,9.22
105,Jamestown,US,2022-05-05 21:06:38,42.097,-79.2353,65.52,55,0,9.22
106,Winona,US,2022-05-05 21:06:39,43.9666,-91.7668,63.5,51,75,0.0
107,Pisco,PE,2022-05-05 21:06:39,-13.7,-76.2167,69.85,73,0,20.71
108,Barrow,US,2022-05-05 21:04:19,71.2906,-156.7887,14.02,79,100,16.11
109,Palmer,US,2022-05-05 21:06:40,42.1584,-72.3287,71.24,29,75,4.61
110,Ganzhou,CN,2022-05-05 21:06:40,28.8184,115.4327,64.85,68,2,1.63
111,Ambon,ID,2022-05-05 21:06:41,-3.6954,128.1814,77.14,94,40,2.3
112,Cockburn Town,TC,2022-05-05 21:06:41,21.4612,-71.1419,80.56,69,40,17.27
113,Kondagaon,IN,2022-05-05 21:06:41,19.6,81.6667,76.23,52,19,4.63
114,Butaritari,KI,2022-05-05 21:06:42,3.0707,172.7902,81.88,70,69,17.78
115,Boddam,GB,2022-05-05 21:06:42,57.4667,-1.7833,56.43,91,100,12.12
116,Saint-Philippe,RE,2022-05-05 21:06:43,-21.3585,55.7679,74.79,86,83,16.35
117,Tuatapere,NZ,2022-05-05 21:06:44,-46.1333,167.6833,53.49,85,66,4.25
118,Chokurdakh,RU,2022-05-05 21:06:44,70.6333,147.9167,21.27,95,100,7.9
119,Qaqortoq,GL,2022-05-05 21:06:45,60.7167,-46.0333,32.72,95,100,4.76
120,Ixtapa,MX,2022-05-05 21:06:45,20.7,-105.2,81.63,65,0,14.97
121,Georgetown,MY,2022-05-05 21:06:50,5.4112,100.3354,82.33,89,20,0.0
122,Marshfield,US,2022-05-05 21:06:50,44.6689,-90.1718,64.35,32,0,11.5
123,Qaanaaq,GL,2022-05-05 21:06:51,77.484,-69.3632,18.32,80,5,5.44
124,Airai,TL,2022-05-05 21:06:51,-8.9266,125.4092,59.32,92,65,2.95
125,Faanui,PF,2022-05-05 21:06:52,-16.4833,-151.75,81.34,72,78,7.58
126,Geraldton,AU,2022-05-05 21:06:52,-28.7667,114.6,59.41,44,0,19.57
127,Iqaluit,CA,2022-05-05 21:06:52,63.7506,-68.5145,20.7,67,8,18.01
128,Toropets,RU,2022-05-05 21:06:53,56.4978,31.6353,40.15,72,100,4.94
129,La Ronge,CA,2022-05-05 21:06:54,55.1001,-105.2842,46.29,74,78,8.14
130,Port Elizabeth,ZA,2022-05-05 21:06:54,-33.918,25.5701,64.31,79,3,3.0
131,Komsomolskiy,UZ,2022-05-05 21:06:54,40.4272,71.7189,65.12,72,9,2.3
132,Ribeira Grande,PT,2022-05-05 21:06:55,38.5167,-28.7,63.79,85,99,27.58
133,Hilo,US,2022-05-05 21:05:04,19.7297,-155.09,85.28,95,100,5.01
134,Kudahuvadhoo,MV,2022-05-05 21:06:56,2.6708,72.8944,82.42,74,100,8.7
135,Rancho Palos Verdes,US,2022-05-05 21:04:50,33.7445,-118.387,83.98,77,20,19.57
